Atividades ,out/21,nov/21,dez/21,jan/22,fev/22,mar/22,abr/22,mai/22,jun/22,jul/22,ago/22,set/22
LEVANTAMENTO BIBLIOGRÁFICO,OK,OK,OK,OK,,,,,,,,
OFICINA DE ZOTERO,OK,OK,,,,,,,,,,
CONSTRUÇÃO DE BIBLIOTECA DE REFERÊNCIAS NO ZOTERO,,,,,,,,,,,,
OFICINA DE PYTHON,OK,OK,,,,,,,,,,
OFICINA DE GIT/GITHUB,OK,OK,OK,,,,,,,,,
CONSTRUÇÃO DO QUESTIONÁRIO,,,,,X,X,,,,,,
CONTATO COM COLEGIADOS E DOCENTES PARA PARTICIPAR DA PESQUISA,,,,X,X,X,,,,,,
APLICAÇÃO DO QUESTIONÁRIO,,,,,,X,X,X,,,,
OFICINAS DE ATLAS.TI,OK,OK,OK,,,,,,,,,
ORGANIZAÇÃO DOS DADOS E ANÁLISE,,,,,,,X,X,X,X,,
ESCRITA DOS RELATÓRIOS,,,,,,X,,,,,X,X
REUNIÕES DE ORIENTAÇÃO,OK,OK,OK,OK,X,X,X,X,X,X,X,X
ESCRITA DE ARTIGO CIENTÍFICO,,,,,,,,,X,X,X,
PUBLICAÇÃO DOS DADOS EM REPOSITÓRIO ON-LINE,,,,,,,,,,,,X
